imdbId,title,tags
tt0273535,dil ne phir yaad kiya,"drama musical romance sadashivamrapurkar vinayanand poojabatra govinda rajatrawail rahul khanna (vinay anand) and sonia chopra (pooja batra) are in love, they seek the blessings of their elders, mahendra pratap khanna (kiran kumar), mr. chopra (sadashiv amrapurkar) and mrs. chopra (kunika), and get married. during their honeymoon, sonia, who is very ambitious, tells rahul that he should start his own business, away from his father, and stand on his own feet. rahul does so, and starts a modelling agency. his immediate rival is sanjeev verma (faraaz khan), who is very successful."
tt0274019,pyaar diwana hota hai,"romance ranimukerji govinda ompuri laxmikantberde kirtikumar sunder (govinda) comes from his village to the big city. he is naive, easily influenced, and illiterate. his attempts to influence girls are mocked, and he is ignored and made fun of by his roommates. one day, he befriends an nri, payal khurana (rani mukerji), who thinks he is disabled and dumb. she feels sorry for him and decides to assist him get his voice back. she takes him to dr. s. puri (om puri), who is unable to find a solution. sunder is thrilled at the attention he is getting from payal, and decides to continue to pull wool over her eyes, for he knows that she does not love him, she only feels sorry for his handicap, and will soon be returning overseas. little does he know that payal is beginning to fall in love with him, and arranging for him to meet her aunt, mrs. chaudhary (farida jalal), and her mom and dad (navin nischal). in the end, to keep true to his word sunder cuts off his tongue."
tt0275381,grahan,"drama romance jackieshroff manishakoirala anupamaverma prasadpurandhare shashilalk.nair grahan is an assamese language romantic drama film directed by tilak sarma and produced by m.choudhury under the banner of bmc media production, guwahati. it stars diganta hazarika, farhin choudhury in the lead roles.the story, written by bilkis mazumdar, is based on love and friendship as seen through the eyes of the younger generation."
tt0277981,rahul,"drama neha rajeshwarisachdev gulshangrover ninakulkarni prakashjha mira (neha) comes from a very wealthy family, however, she wants to get married to akash sharma (jatin grewal), who is not so wealthy. against the wishes of her mother and brother, mira gets married to akash. the bad memories are left behind when mira's family finally ""forgives"" them, at the birth of baby-boy, rahul (yash pathak). with the family with such a acrimonious past, coming together, their marriage deteriorates, to such an extent that they have to involve the police and the courts for purposes of custody. the only obstacle coming between the couple from getting married again to different people are marred by rahul, who is unable to accept his parents' divorce."
tt0278291,ajnabee,"crime mystery thriller akshaykumar bobbydeol kareenakapoor bipashabasu abbasalibhaiburmawalla mastanalibhaiburmawalla do ajnabee is an upcoming indian bollywood film written and directed by sanjeev kumar rajput while the producer of the film is anu mitra. arya babbar, aman verma, anu mitra will be seen in the lead role of the film."
tt0278522,jodi no.1,"comedy sanjaydutt govinda twinklekhanna monicabedi daviddhawan rai bahadur lives a wealthy lifestyle in panjim, goa, along with three brothers, raman, kamal, and ashok along with their respective wives and children. he also has a sister, shanno, and a daughter, rinki, who is of marriageable age. since his business is not doing too well, he asks his us-based friend, ranjit, for assistance. in response, ranjit sends his son, vikramjit, to assist rai. vikramjit arrives at the rai household along with his secretary and close friend, veeru, and soon both get involved in assisting the rai business get back on it's feet. what rai does not know is that vikramjit & veeru are not who they claim to be, but are actually jai and veeru, wanted by the bombay police and are on india's most wanted criminals. watch what happens when their photos are telecast on national tv, and the impact this has on the entire rai clan."
tt0279021,chhupa rustam: a musical thriller,"crime drama romance tinnuanand rajbabbar laxmikantberde avtargill azizsejawal a tough and rowdy look-alike takes the place of a rich young man, who has family problems and enemies."
tt0280720,the guru,"comedy fantasy music jimimistry heathergraham marisatomei michaelmckean daisyvonscherlermayer bored with bollywood movies but fascinated with their hollywood counterparts from his youth, ram dreams to become a singer and actor in america, the country where dreams are made. he is encouraged when his american-based close friend, vijay rao, comes for visit, and brags about driving a mercedes and living in a penthouse."
tt0281102,pyaar tune kya kiya...,"thriller fardeenkhan ravibaswani kannugill sonalikulkarni rajatmukherjee ria jaiswal lives a very wealthy lifestyle along with her mom and dad. as she is the only child in this family, her parents dot on her and give in to her every wish."
tt0283911,bas itna sa khwaab hai...,"romance ranimukerji abhishekbachchan sushmitasen jackieshroff goldiebehl suraj dreams of following in his idol's footsteps, but as he moves to mumbai to follow his dream, he discovers that following your dreams may have a cost."
tt0284137,gadar: ek prem katha,"action drama romance sunnydeol ameeshapatel amrishpuri lilletedubey anilsharma amongst the communal riots that erupt in the city, tara shelters a wayward sakina from a crazed mob and a bond that blossoms into love is created. the two eventually get married and have a son. the happy family, now living in amritsar, gets the shock of their lives when sakina learns that her father (amrish puri), whom she previously believed died in the riots back in amritsar, is still alive after seeing his picture in a tattered, old newspaper. upon contacting him, sakina's father, now the mayor of lahore in pakistan, arranges for his daughter to arrive in lahore to see him. sakina leaves for lahore minus tara and her son, and upon reaching the city, learns of her father's plans for her - plans that include forcing sakina to forget about her family and start life anew in pakistan. then begins an extraordinary journey which will lead tara to cross the border into pakistan to find his love sakina"
tt0284328,mujhe kucch kehna hai,"romance tussharkapoor kareenakapoor amrishpuri rinkekhanna satishkaushik karan who is weak in his studies but good at music and masti which always results in fighting with his father, but his life changes when he sees the girl of his dreams. everywhere he sees her he follows her but one day he goes out of town to find her but couldn't. later his father sents him to another city but his car breaks down and takes lift and finds it's the same girl whos name is pooja."
tt0285319,paagalpan,"romance karannath aartiagarwal vilasujawane bharatdabholkar joyaugustine aarti agarwal and karan nath star as roma pinto and sameer malhotra. roma pinto, a beautiful young teenager, is the pride and joy of her five doting brothers, arun, jack, sunny, harry and bunty. roma falls in love with the dashing and wealthy sameer malhotra, the heir to his father's millions. although her brothers are initially opposed, she soon wins them over, only for matters to take a turn for the worse when one of sameer's father's ships sinks, killing people from roma's home town. one of her brothers finds out about this, but is killed by the police and with roma's family blaming sameer for this death, the two young lovers are forced to elope."
tt0287537,love ke liye kuch bhi karega,"comedy crime romance saifalikhan fardeenkhan aftabshivdasani sonalibendre eeshwarnivas desperate for money, three men plot to kidnap a woman and hold her for ransom."
tt0288273,uljhan,"drama pururajkumar diptibhatnagar kanchan laxmikantberde rajanjohri a wealthy man is distraught to find that the girl of his dreams, anjali, actually likes his adopted brother instead. after a tragic accident leaves him disfigured, anjali begins to fall in love with him whilst helping him recover, however, she still harbors romantic feelings for his brother."
tt0289845,aks,"thriller mystery amitabhbachchan raveenatandon manojbajpayee nanditadas rakeyshomprakashmehra aksel wakes up with a beautiful and loving woman by his side, the morning sun and a gentle breeze coming in through the window. however, this idyll doesn't last long, as the day gradually falls more and more apart."
tt0290326,tum bin...: love will find a way,"drama romance priyanshuchatterjee himanshumalik sandalisinha raqeshvashisth anubhavsinha shekhar, a businessman, accidentally kills his associate amar, and ridden with guilt, decides to watch over amar's company and take care of his family and friends. however, he falls in love with amar's fiancé piya - who is to marry tycoon abhi gyan to save the company"
tt0291376,nayak: the real hero,"drama action anilkapoor ranimukerji amrishpuri johnnylever s.shankar shivajirao, a tv reporter, gets a chance to be the chief minister of maharashtra for a day after being challenged by incumbent chief minister balraj chauhan. after his one-day stint turns out to be a huge success, his life spirals out of control and he is embroiled in political intrigue."
tt0292490,dil chahta hai,"comedy drama aamirkhan saifalikhan akshayekhanna preityzinta farhanakhtar three inseparable childhood friends are just out of college. nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
tt0292552,hum ho gaye aap ke,"musical fardeenkhan reemasen apoorvaagnihotri sumanranganathan ahathian sunilkumaragrawal rishi oberoi is the only son in the oberoi family, who are wealthy and own a palatial home. rishi is a womanizer, and often drinks. one day he comes across an attractive young lady, who he later comes to know as chandni gupta. chandni is not impressed with rishi's advances, and ignores him. chandni is employed with an organization, and is in love with her co-worker, mohan sachdev. when mohan and chandni plan to marry, they are met with opposition from mohan's parents, and as a result mohan marries someone else. rishi comes to know about this and offers to console chandni as a friend. it is now up to chandni to decide if she would prefer a womanizer and a former admirer as a friend."
tt0292740,yeh raaste hain pyaar ke,"romance drama ajaydevgn madhuridixit preityzinta vikramgokhale deepaks.shivdasani two con artistes and car thieves, vicky and sakshi, are faced with death when they accidentally kill bhanwarlal's brother. bhanwarlal and his other brother both swear to avenge the death of their brother and mistakenly kill rohit verma, who is a look-alike of vicky."
tt0293342,lajja,"drama musical crime rekha anilkapoor jackieshroff madhuridixit rajkumarsantoshi an unhappy wife finds love outside of marriage, but can she also find peace?"
tt0294662,kaante,"action crime drama amitabhbachchan sanjaydutt sunilshetty maheshmanjrekar sanjaygupta ajay, the son of criminal leader nageshwar, leads a peaceful family life. however, when the rivals kidnap ajay's son, nageshwar forces him to join the life of crime to rescue his child."
tt0295603,shirdi sai baba,"drama mystery sudhirdalvi dharmendra vikramgokhale rohinihattangadi deepakbalrajvij an indian has no faith in the existence of god. his friend recounts numerous tales depicting the miracles of sai baba. unconvinced, he visits shirdi himself and begins his journey towards discovery and faith. the movie is focused on the story of sai baba - his birth, teachings, miracles and his physical death. for the first time, a film has been shot in shirdi, the holy temple of sai baba."
tt0296535,bollywood bound,documentary neerubajwa rubybhatia vekeanadhillon vikramdhillon nishapahuja young canadians of indian descent try to break into the bollywood film industry.
tt0296574,company,"action crime thriller ajaydevgn mohanlal manishakoirala seemabiswas ramgopalvarma set in modern upper-crust manhattan, an exploration of love and commitment as seen through the eyes of a charming perpetual bachelor questioning his single state and his enthusiastically married, slightly envious friends."
tt0297983,ittefaq,"action drama thriller sunilshetty mukuldev poojabatra anupamaverma sanjaykhanna shiva (sunil shetty) is a professional hit man. shiva accepts a contract from jindal (mohan joshi) to kill vikram (mukul dev). circumstances force shiva to come to know mukul first, and instead of killing him, he becomes his bodyguard and protects him against jindal and his men. soon shiva, mukul, and mukul's girlfriend roshni hiranandani (pooja batra) are on the run from jindal's men. jindal makes it clear that he will not rest until he sees the dead bodies of all the three. how long will they survive jindal? did shiva really change his mind or is this his strategy to bring mukul alive to jindal?"
tt0298606,yeh teraa ghar yeh meraa ghar,"comedy drama sunilshetty mahimachaudhry pareshrawal saurabhshukla priyadarshan after the death of his dad, dayashankar pandey arranges the marriage of his two sisters. in debt, he goes to the city to ask the tenants to leave his house, as he intends to sell it and repay his debts. a woman, her two daughters, jyoti, saraswati, and one son, chotu are living there. when dayashankar asks them to vacate, they refuse. what results is dayashankar's hilarious attempts to force them to vacate - from seeking legal advice; filing police reports; asking goons to remove them - moving in himself. will dayashankar succeed in his attempts to evict his tenants?"
tt0298607,yeh zindagi ka safar,"drama ameeshapatel jimmyshergill nafisaali gulshangrover tanujachandra hindi pop-star, sarina devan, lives a wealthy lifestyle with her widowed businessman father, vivek. she soon achieves considerable success and becomes immensely popular."
tt0299108,rehnaa hai terre dil mein,"musical madhavan saifalikhan diamirza vrajeshhirjee gauthammenon maddy impersonates rajeev, the person his love interest, reena, is about to marry and attempts to woo her. however, he is unprepared for the moment when the truth will be revealed."
tt0300028,indian,action crime drama malaikaarora rajbabbar ranajungbahadur balwantbansal n.maharajan dreaming about the wild west in the 1970s in eastern europe is not enough...
